cycle_index,discharge_capacity,charge_capacity,discharge_energy,charge_energy,dc_internal_resistance,temperature_maximum,temperature_average,temperature_minimum,date_time_iso,energy_efficiency,charge_throughput,energy_throughput,charge_duration,time_temperature_integrated,paused,file_name
0,1.934572,1.4173516000000002,6.116105999999999,4.673017,0.0293836947530508,34.16896057128906,30.977693557739254,25.23790168762207,2017-07-01T03:52:32+00:00,1.3088131286490077,1.4173516035079956,4.6730170249938965,33280.0,39217.38146972656,0,FastCharge_000000_CH19_structure
1,1.0454259,1.0456483,3.1736648,3.6461608,0.0178641229867935,34.85007095336914,32.641014099121094,30.33453941345215,2017-07-02T00:59:44+00:00,0.8704127365968061,2.4629998207092285,8.319177627563477,640.0,1936.503715006511,0,FastCharge_000000_CH19_structure
2,1.0480373,1.0484418,3.1761549,3.6511858,0.0179289393126964,34.573604583740234,32.27454376220703,29.808897018432617,2017-07-02T01:59:28+00:00,0.8698968154400688,3.511441707611084,11.97036361694336,640.0,1915.9326497395837,0,FastCharge_000000_CH19_structure
3,1.0480293,1.0478849,3.1758397,3.6517849,0.0180115364491939,34.393001556396484,32.0784797668457,30.053253173828125,2017-07-02T02:59:12+00:00,0.8696677890310571,4.559326648712158,15.622148513793944,640.0,1974.1786173502603,0,FastCharge_000000_CH19_structure
4,1.0490997,1.0491858,3.1825621,3.6533284,0.0176707822829484,34.29954528808594,32.47310256958008,30.322723388671875,2017-07-02T04:01:04+00:00,0.8711404373064299,5.6085124015808105,19.27547645568848,512.0,1930.6155680338543,0,FastCharge_000000_CH19_structure
5,1.0496798,1.049651,3.1806931,3.6544945,0.017613360658288,35.85921096801758,32.628868103027344,29.45937156677246,2017-07-02T05:00:48+00:00,0.8703510430785982,6.658163547515869,22.92997169494629,640.0,1935.5737752278649,0,FastCharge_000000_CH19_structure
6,1.0492859,1.0494344999999998,3.1808746,3.6549008,0.0174613557755947,34.92391586303711,32.47910690307617,30.65745735168457,2017-07-02T06:00:32+00:00,0.8703039491523272,7.707597732543945,26.584871292114254,640.0,1927.326765950521,0,FastCharge_000000_CH19_structure
7,1.0494497,1.049554,3.183569,3.6540372,0.0173212438821792,34.68513870239258,32.492977142333984,30.55349349975586,2017-07-02T07:00:16+00:00,0.8712470141245414,8.75715160369873,30.238908767700195,640.0,1930.954695638021,0,FastCharge_000000_CH19_structure
8,1.0494211000000002,1.0495406,3.1780615,3.6531205,0.0173789728432893,34.089195251464844,32.19282531738281,29.450090408325195,2017-07-02T08:00:00+00:00,0.8699580262956013,9.806692123413086,33.89202880859375,640.0,1980.7505289713545,0,FastCharge_000000_CH19_structure
9,1.0490589,1.0491034,3.1791244,3.6538329,0.017378969117999,34.2453727722168,32.03107452392578,30.329713821411133,2017-07-02T09:01:52+00:00,0.8700793076771519,10.855795860290527,37.54586410522461,512.0,1904.1538208007807,0,FastCharge_000000_CH19_structure
10,1.049107,1.0492159,3.1802490000000003,3.6527669,0.0172581933438777,33.96279525756836,32.08415985107422,29.972055435180664,2017-07-02T10:01:36+00:00,0.8706411022285601,11.905012130737305,41.19863128662109,640.0,1906.9639770507813,0,FastCharge_000000_CH19_structure
11,1.0487089,1.0487296999999998,3.1741335,3.6505222,0.0172468367964029,34.49394607543945,32.04487991333008,30.337316513061523,2017-07-02T11:01:20+00:00,0.8695012182092742,12.953741073608398,44.849151611328125,640.0,1901.488549804688,0,FastCharge_000000_CH19_structure
12,1.048761,1.0488162,3.1769981,3.6528549,0.0170820709317922,34.53160095214844,32.094173431396484,30.423978805541992,2017-07-02T12:01:04+00:00,0.8697301663966998,14.002557754516602,48.50200653076172,640.0,1973.0112141927084,0,FastCharge_000000_CH19_structure
13,1.0487111,1.0487125,3.1785121,3.6513538,0.017042314633727,34.34537887573242,32.15296173095703,30.222997665405277,2017-07-02T13:02:56+00:00,0.8705023599739911,15.051270484924316,52.15336227416992,512.0,1912.043277994792,0,FastCharge_000000_CH19_structure
14,1.0486101,1.0486305,3.1768901,3.6499834,0.0171037781983613,34.88372039794922,32.287742614746094,30.48525619506836,2017-07-02T14:02:40+00:00,0.8703848077774818,16.09990119934082,55.8033447265625,640.0,1914.8679972330729,0,FastCharge_000000_CH19_structure
